ID,Angular Frequency,Complex Viscosity,CY_Params
M3,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[244.3, 277.29, 319.09, 369.76, 428.63, 496.65, 573.45, 660.33, 758.02, 867.2, 987.98, 1120.6, 1265.4, 1422.2, 1590.8, 1771.1, 1962.1, 2162.5, 2371.0, 2586.6, 2807.0, 3029.3, 3252.9, 3474.3, 3686.6, 3886.2, 4070.9, 4234.0, 4376.7, 4491.2, 4575.5, 4641.7, 4697.1, 4743.2, 4777.6, 4789.7, 4804.2, 4800.1]","[5093.268767269354, 0.2018895682163464, 0.37475998586209247, 0.7960072047869388]"
M12_5_M3_10,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[135.04, 146.32, 160.8, 178.59, 198.48, 220.48, 244.61, 269.76, 296.36, 324.38, 353.8, 384.11, 414.96, 445.74, 476.14, 505.67, 534.2, 560.97, 585.9, 608.6, 629.0, 646.89, 661.99, 674.03, 683.02, 688.01, 691.3, 690.89, 687.43, 682.82, 671.96, 662.37, 652.37, 641.92, 630.11, 619.48, 608.48, 601.59]","[660.4116545956067, 0.0746641896002194, 0.5868601087593938, 1.6298208496349433]"
M12_5_M3_5,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[126.61, 139.26, 154.72, 173.14, 193.53, 215.68, 240.2, 265.25, 291.8, 319.78, 349.07, 379.22, 409.86, 440.4, 470.52, 500.08, 528.68, 555.34, 580.53, 603.94, 624.42, 642.79, 659.27, 672.6, 682.24, 688.46, 693.5, 694.61, 692.55, 686.56, 679.11, 672.08, 661.61, 653.73, 643.87, 635.63, 623.71, 612.9]","[669.088839504496, 0.06894560736200711, 0.5606864020347317, 1.4043633023882824]"
M12_4_M3_5,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[131.11, 143.85, 159.79, 179.03, 200.38, 223.9, 249.89, 276.86, 305.71, 336.39, 368.64, 402.21, 436.59, 471.53, 506.61, 541.22, 575.53, 608.77, 641.05, 671.64, 700.52, 727.14, 751.89, 774.64, 794.49, 811.31, 825.89, 838.55, 848.89, 853.58, 856.69, 857.18, 854.21, 853.47, 846.1, 839.48, 823.54, 814.54]","[861.3467976219358, 0.0829936852366592, 0.5251872942539821, 0.9439248740900286]"
M12_4,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[135.7, 144.54, 157.28, 174.06, 193.05, 214.19, 237.24, 261.59, 287.57, 315.07, 343.93, 373.59, 403.76, 433.94, 463.82, 492.92, 520.91, 547.44, 572.14, 594.73, 615.34, 633.3, 649.05, 661.25, 670.61, 676.19, 678.81, 678.76, 675.37, 670.32, 663.11, 653.66, 643.17, 636.15, 624.11, 616.11, 604.83, 593.38]","[650.872851879355, 0.08195416439789963, 0.597306624113099, 1.6698636198186851]"
M12_1_M3_30,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[164.45, 183.29, 206.99, 235.2, 266.67, 301.95, 341.34, 383.1, 428.7, 478.47, 532.16, 589.09, 648.9, 711.33, 775.84, 841.84, 908.82, 976.57, 1043.7, 1110.0, 1174.8, 1236.8, 1296.5, 1353.0, 1405.2, 1452.0, 1494.4, 1531.7, 1562.1, 1585.5, 1602.8, 1610.6, 1620.2, 1626.6, 1626.1, 1619.9, 1616.9, 1601.9]","[1684.2316511342008, 0.11244061464461191, 0.45731052226956503, 0.8072836280617371]"
M12_2_M3_25,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[157.05, 173.04, 194.01, 219.77, 248.83, 281.13, 317.57, 356.5, 398.9, 444.69, 493.49, 545.03, 598.78, 654.63, 711.92, 770.62, 829.67, 888.61, 947.12, 1004.6, 1060.2, 1113.2, 1164.7, 1211.8, 1254.6, 1293.5, 1329.7, 1360.5, 1386.6, 1407.6, 1422.0, 1433.9, 1441.0, 1450.8, 1454.5, 1454.8, 1447.7, 1440.2]","[1503.5140275227457, 0.10150289228212021, 0.45816071793422924, 0.7838711097059582]"
M12,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[156.08, 167.9, 184.83, 206.85, 232.08, 260.55, 292.58, 326.88, 364.12, 404.53, 447.79, 493.67, 541.57, 591.34, 642.48, 694.34, 746.69, 798.98, 850.73, 901.23, 950.39, 997.39, 1042.0, 1082.6, 1119.7, 1152.6, 1181.0, 1204.4, 1222.4, 1237.4, 1245.0, 1250.4, 1253.0, 1250.5, 1243.2, 1235.9, 1221.2, 1205.5]","[1266.301263964459, 0.13673932999177396, 0.5242368081967073, 0.9851710716913873]"
M12_2_M3_10,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[148.11, 159.0, 173.88, 193.57, 216.22, 241.86, 270.22, 300.7, 333.56, 368.91, 406.4, 445.89, 486.76, 528.71, 571.19, 613.77, 656.02, 697.36, 737.75, 776.45, 813.58, 848.62, 881.18, 910.66, 936.45, 959.03, 977.4, 993.07, 1006.1, 1014.5, 1020.9, 1023.1, 1027.2, 1027.9, 1024.2, 1021.3, 1016.6, 1012.8]","[1041.2910209529985, 0.11231509599685797, 0.5355343265720148, 0.9635588294508338]"
M12_4_M3_25,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[144.04, 158.05, 175.67, 196.9, 220.71, 247.24, 276.72, 307.68, 340.84, 376.41, 413.85, 453.17, 493.64, 534.78, 576.39, 617.73, 658.17, 697.47, 736.05, 771.88, 805.08, 836.47, 865.07, 889.81, 910.9, 927.71, 941.02, 950.22, 960.02, 961.41, 953.03, 950.97, 945.41, 942.03, 928.04, 924.41, 908.66, 900.24]","[950.8891400284485, 0.09012792154363546, 0.5321967930447488, 1.1246419425993548]"
